Sent [SYN] packet - Time: 0.1429ms
Received [SYN-ACK] packet - Time: 0.0044ms
Sent [ACK] packet - Time: 0.0245ms
Sent [Data] packet - Filename: 1.jpg, SeqNum: 36, AckNum: 35, Length: 1024, cwndSize: 11, Checksum: 4294963560, Time: 0.008ms
Sent [Data] packet - Filename: 1.jpg, SeqNum: 37, AckNum: 36, Length: 1024, cwndSize: 11, Checksum: 4294936933, Time: 0.0097ms
Received [Data] packet - Filename: , SeqNum: 27, AckNum: 27, Length: 14, cwndSize: 11, Checksum: 4294919553, Time: 0.0013ms
Received [Data] packet - Filename: , SeqNum: 28, AckNum: 28, Length: 14, cwndSize: 11, Checksum: 4294919553, Time: 0.0011ms
Received [Data] packet - Filename: , SeqNum: 29, AckNum: 29, Length: 14, cwndSize: 11, Checksum: 4294919553, Time: 0.0012ms
Received [Data] packet - Filename: , SeqNum: 30, AckNum: 30, Length: 14, cwndSize: 11, Checksum: 4294919553, Time: 0.0014ms
Received [Data] packet - Filename: , SeqNum: 31, AckNum: 31, Length: 14, cwndSize: 11, Checksum: 4294919553, Time: 0.0059ms
Received [Data] packet - Filename: , SeqNum: 32, AckNum: 32, Length: 14, cwndSize: 11, Checksum: 4294919553, Time: 0.0352ms
Received [Data] packet - Filename: , SeqNum: 33, AckNum: 33, Length: 14, cwndSize: 11, Checksum: 4294919553, Time: 0.0419ms
Received [Data] packet - Filename: , SeqNum: 34, AckNum: 34, Length: 14, cwndSize: 11, Checksum: 4294919553, Time: 0.0799ms
Received [Data] packet - Filename: , SeqNum: 35, AckNum: 35, Length: 14, cwndSize: 11, Checksum: 4294919553, Time: 0.004ms
Received [Data] packet - Filename: , SeqNum: 36, AckNum: 36, Length: 14, cwndSize: 11, Checksum: 4294919553, Time: 0.001ms
Received [Data] packet - Filename: , SeqNum: 37, AckNum: 37, Length: 14, cwndSize: 11, Checksum: 4294919553, Time: 0.0008ms
Sent [Data] packet - Filename: 1.jpg, SeqNum: 38, AckNum: 37, Length: 1024, cwndSize: 12, Checksum: 4294945330, Time: 0.035ms
Sent [Data] packet - Filename: 1.jpg, SeqNum: 39, AckNum: 38, Length: 1024, cwndSize: 12, Checksum: 4294916587, Time: 0.0065ms
Sent [Data] packet - Filename: 1.jpg, SeqNum: 40, AckNum: 39, Length: 1024, cwndSize: 12, Checksum: 4294922968, Time: 0.0051ms
Sent [Data] packet - Filename: 1.jpg, SeqNum: 41, AckNum: 40, Length: 1024, cwndSize: 12, Checksum: 4294944596, Time: 0.0051ms
Sent [Data] packet - Filename: 1.jpg, SeqNum: 42, AckNum: 41, Length: 1024, cwndSize: 12, Checksum: 4294917310, Time: 0.0061ms
Sent [Data] packet - Filename: 1.jpg, SeqNum: 43, AckNum: 42, Length: 1024, cwndSize: 12, Checksum: 4294947810, Time: 0.0054ms
Sent [Data] packet - Filename: 1.jpg, SeqNum: 44, AckNum: 43, Length: 1024, cwndSize: 12, Checksum: 4294907679, Time: 0.0052ms
Sent [Data] packet - Filename: 1.jpg, SeqNum: 45, AckNum: 44, Length: 1024, cwndSize: 12, Checksum: 4294912838, Time: 0.0052ms
Sent [Data] packet - Filename: 1.jpg, SeqNum: 46, AckNum: 45, Length: 1024, cwndSize: 12, Checksum: 4294964799, Time: 0.0127ms
Sent [Data] packet - Filename: 1.jpg, SeqNum: 47, AckNum: 46, Length: 1024, cwndSize: 12, Checksum: 4294919898, Time: 0.0059ms
Sent [Data] packet - Filename: 1.jpg, SeqNum: 48, AckNum: 47, Length: 1024, cwndSize: 12, Checksum: 4294915372, Time: 0.0074ms
Sent [Data] packet - Filename: 1.jpg, SeqNum: 49, AckNum: 48, Length: 1024, cwndSize: 12, Checksum: 4294943350, Time: 0.0067ms
Received [Data] packet - Filename: , SeqNum: 38, AckNum: 38, Length: 14, cwndSize: 12, Checksum: 4294919553, Time: 0.0401ms
Received [Data] packet - Filename: , SeqNum: 39, AckNum: 39, Length: 14, cwndSize: 12, Checksum: 4294919553, Time: 0.1ms
Received [Data] packet - Filename: , SeqNum: 40, AckNum: 40, Length: 14, cwndSize: 12, Checksum: 4294919553, Time: 0.0198ms
Received [Data] packet - Filename: , SeqNum: 41, AckNum: 41, Length: 14, cwndSize: 12, Checksum: 4294919553, Time: 0.0198ms
Received [Data] packet - Filename: , SeqNum: 42, AckNum: 42, Length: 14, cwndSize: 12, Checksum: 4294919553, Time: 0.0095ms
Received [Data] packet - Filename: , SeqNum: 43, AckNum: 43, Length: 14, cwndSize: 12, Checksum: 4294919553, Time: 0.0052ms
Received [Data] packet - Filename: , SeqNum: 44, AckNum: 44, Length: 14, cwndSize: 12, Checksum: 4294919553, Time: 0.0035ms
Received [Data] packet - Filename: , SeqNum: 45, AckNum: 45, Length: 14, cwndSize: 12, Checksum: 4294919553, Time: 0.0043ms
Received [Data] packet - Filename: , SeqNum: 46, AckNum: 46, Length: 14, cwndSize: 12, Checksum: 4294919553, Time: 0.0041ms
Received [Data] packet - Filename: , SeqNum: 47, AckNum: 47, Length: 14, cwndSize: 12, Checksum: 4294919553, Time: 0.0038ms
Received [Data] packet - Filename: , SeqNum: 48, AckNum: 48, Length: 14, cwndSize: 12, Checksum: 4294919553, Time: 0.0032ms
Received [Data] packet - Filename: , SeqNum: 49, AckNum: 49, Length: 14, cwndSize: 12, Checksum: 4294919553, Time: 0.0037ms
Sent [Data] packet - Filename: 1.jpg, SeqNum: 50, AckNum: 49, Length: 1024, cwndSize: 13, Checksum: 4294932521, Time: 0.0779ms
Sent [Data] packet - Filename: 1.jpg, SeqNum: 51, AckNum: 50, Length: 1024, cwndSize: 13, Checksum: 4294912990, Time: 0.03ms
Sent [Data] packet - Filename: 1.jpg, SeqNum: 52, AckNum: 51, Length: 1024, cwndSize: 13, Checksum: 4294938192, Time: 0.0239ms
Sent [Data] packet - Filename: 1.jpg, SeqNum: 53, AckNum: 52, Length: 1024, cwndSize: 13, Checksum: 4294918121, Time: 0.0237ms
Sent [Data] packet - Filename: 1.jpg, SeqNum: 54, AckNum: 53, Length: 1024, cwndSize: 13, Checksum: 4294929224, Time: 0.0365ms
Sent [Data] packet - Filename: 1.jpg, SeqNum: 55, AckNum: 54, Length: 1024, cwndSize: 13, Checksum: 4294956512, Time: 0.0356ms
Sent [Data] packet - Filename: 1.jpg, SeqNum: 56, AckNum: 55, Length: 1024, cwndSize: 13, Checksum: 4294911360, Time: 0.0334ms
Sent [Data] packet - Filename: 1.jpg, SeqNum: 57, AckNum: 56, Length: 1024, cwndSize: 13, Checksum: 4294914209, Time: 0.0325ms
Sent [Data] packet - Filename: 1.jpg, SeqNum: 58, AckNum: 57, Length: 1024, cwndSize: 13, Checksum: 4294908252, Time: 0.0332ms
Sent [Data] packet - Filename: 1.jpg, SeqNum: 59, AckNum: 58, Length: 1024, cwndSize: 13, Checksum: 4294945148, Time: 0.0364ms
Sent [Data] packet - Filename: 1.jpg, SeqNum: 60, AckNum: 59, Length: 1024, cwndSize: 13, Checksum: 4294919342, Time: 0.0332ms
Sent [Data] packet - Filename: 1.jpg, SeqNum: 61, AckNum: 60, Length: 1024, cwndSize: 13, Checksum: 4294931118, Time: 0.0326ms
Sent [Data] packet - Filename: 1.jpg, SeqNum: 62, AckNum: 61, Length: 1024, cwndSize: 13, Checksum: 4294935912, Time: 0.0458ms
Received [Data] packet - Filename: , SeqNum: 50, AckNum: 50, Length: 14, cwndSize: 13, Checksum: 4294919553, Time: 0.0058ms
Received [Data] packet - Filename: , SeqNum: 51, AckNum: 51, Length: 14, cwndSize: 13, Checksum: 4294919553, Time: 0.0039ms
Received [Data] packet - Filename: , SeqNum: 52, AckNum: 52, Length: 14, cwndSize: 13, Checksum: 4294919553, Time: 0.0031ms
Received [Data] packet - Filename: , SeqNum: 53, AckNum: 53, Length: 14, cwndSize: 13, Checksum: 4294919553, Time: 0.0033ms
Received [Data] packet - Filename: , SeqNum: 54, AckNum: 54, Length: 14, cwndSize: 13, Checksum: 4294919553, Time: 0.0037ms
Received [Data] packet - Filename: , SeqNum: 55, AckNum: 55, Length: 14, cwndSize: 13, Checksum: 4294919553, Time: 0.0034ms
Received [Data] packet - Filename: , SeqNum: 56, AckNum: 56, Length: 14, cwndSize: 13, Checksum: 4294919553, Time: 0.0034ms
Received [Data] packet - Filename: , SeqNum: 57, AckNum: 57, Length: 14, cwndSize: 13, Checksum: 4294919553, Time: 0.0035ms
